tuple
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'All', 1, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22180, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22181, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22182, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22183, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22184, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - CMP (Condo Associations Only)', 22185, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - CMP (Excl Condo Associations)', 22186, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22187, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22188, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Allied Lines', 22189, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22190, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Condominium Unit Owners', 22191, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22192, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Dwelling/Fire', 22193, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22194, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22195, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Excess Private Flood', 22196, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Farmowners', 22197, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22198, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22199, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Mobile Homeowners', 22200, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22201, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Primary Private Flood', 22202, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Tenants', 22203, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Leon', 'Personal Residential - Tenants - WIND ONLY', 22204, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'All', 22205, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22206, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22207, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22208, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22209, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22210, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - CMP (Condo Associations Only)', 22211, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - CMP (Excl Condo Associations)', 22212, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22213, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22214, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Allied Lines', 22215, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22216, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Condominium Unit Owners', 22217, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22218, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Dwelling/Fire', 22219, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22220, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22221, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Excess Private Flood', 22222, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Farmowners', 22223, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22224, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22225, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Mobile Homeowners', 22226, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22227, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Primary Private Flood', 22228, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Tenants', 22229, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Levy', 'Personal Residential - Tenants - WIND ONLY', 22230, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'All', 22231, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22232, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22233, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22234, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22235, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22236, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - CMP (Condo Associations Only)', 22237, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - CMP (Excl Condo Associations)', 22238, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22239, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22240, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Allied Lines', 22241, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22242, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Condominium Unit Owners', 22243, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22244, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Dwelling/Fire', 22245, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22246, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22247, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Excess Private Flood', 22248, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Farmowners', 22249, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22250, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22251, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Mobile Homeowners', 22252, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22253, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Primary Private Flood', 22254, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Tenants', 22255, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Liberty', 'Personal Residential - Tenants - WIND ONLY', 22256, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'All', 22257, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22258, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22259, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22260, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22261, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22262, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - CMP (Condo Associations Only)', 22263, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - CMP (Excl Condo Associations)', 22264, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22265, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22266, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Allied Lines', 22267, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22268, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Condominium Unit Owners', 22269, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22270, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Dwelling/Fire', 22271, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22272, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22273, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Excess Private Flood', 22274, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Farmowners', 22275, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22276, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22277, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Mobile Homeowners', 22278, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22279, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Primary Private Flood', 22280, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Tenants', 22281, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Madison', 'Personal Residential - Tenants - WIND ONLY', 22282, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'All', 22283, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22284, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22285, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22286, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22287, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22288, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - CMP (Condo Associations Only)', 22289, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - CMP (Excl Condo Associations)', 22290, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22291, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22292, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Allied Lines', 22293, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22294, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Condominium Unit Owners', 22295, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22296, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Dwelling/Fire', 22297, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22298, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22299, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Excess Private Flood', 22300, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Farmowners', 22301, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22302, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22303, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Mobile Homeowners', 22304, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22305, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Primary Private Flood', 22306, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Tenants', 22307, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Manatee', 'Personal Residential - Tenants - WIND ONLY', 22308, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'All', 22309, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22310, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22311, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22312, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22313, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22314, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - CMP (Condo Associations Only)', 22315, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - CMP (Excl Condo Associations)', 22316, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22317, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22318, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Allied Lines', 22319, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22320, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Condominium Unit Owners', 22321, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22322, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Dwelling/Fire', 22323, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22324, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22325, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Excess Private Flood', 22326, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Farmowners', 22327, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22328, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22329, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Mobile Homeowners', 22330, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22331, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Primary Private Flood', 22332, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Tenants', 22333, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Marion', 'Personal Residential - Tenants - WIND ONLY', 22334, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'All', 22335, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22336, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22337, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22338, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22339, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22340, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - CMP (Condo Associations Only)', 22341, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - CMP (Excl Condo Associations)', 22342, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22343, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22344, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Allied Lines', 22345, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22346, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Condominium Unit Owners', 22347, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22348, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Dwelling/Fire', 22349, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22350, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22351, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Excess Private Flood', 22352, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Farmowners', 22353, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 22354, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 22355, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Mobile Homeowners', 22356, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Mobile Homeowners - WIND ONLY', 22357, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Primary Private Flood', 22358, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Tenants', 22359, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Martin', 'Personal Residential - Tenants - WIND ONLY', 22360, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'All', 22361, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 22362, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 22363, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 22364, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - Allied Lines (Condo Associations Only)', 22365, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 22366, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - CMP (Condo Associations Only)', 22367, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - CMP (Excl Condo Associations)', 22368, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 22369, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 22370, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Allied Lines', 22371, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 22372, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Condominium Unit Owners', 22373, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 22374, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Dwelling/Fire', 22375, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 22376, 10)"
"('2021', 'Quarter 1 (01/01/2021-03/31/2021)', 'Monroe', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 22377, 10)"
